data_status,product_instance,stage_id,stage_name,synthetic_activity_value,activity_unit,emission_factor_gCO2e_per_unit,factor_status,co2e_kg
SYNTHETIC,2,9,"Repair (replacement battery) [SYNTHETIC]",0.0717,"kWh replacement-battery capacity",74000,CITED,5.306
SYNTHETIC,2,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.1,"kg mass processed",-1170.4,CITED,-2.458
SYNTHETIC,3,1,"Aluminium casing [SYNTHETIC]",1.242,"kg aluminium",14800,CITED,18.382
SYNTHETIC,3,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.328,"kg populated board",185714,DERIVED_FROM_CITED,60.914
SYNTHETIC,3,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0652,"kWh cell capacity",74000,CITED,4.825
SYNTHETIC,3,4,"Screen (LCD module) [SYNTHETIC]",0.0591,"m2 panel area",222000,CITED,13.12
SYNTHETIC,3,5,"Assembly electricity [SYNTHETIC]",18.2,"kWh factory electricity",445,CITED,8.099
SYNTHETIC,3,6,"Packaging (cardboard) [SYNTHETIC]",0.89,"kg packaging material",1199.73,CITED,1.068
SYNTHETIC,3,7,"International shipping (sea, container) [SYNTHETIC]",71.6,"tonne-km",16.12,CITED,1.154
SYNTHETIC,3,8,"Use-phase electricity [SYNTHETIC]",211,"kWh lifetime electricity",445,CITED,93.895
SYNTHETIC,3,9,"Repair (replacement battery) [SYNTHETIC]",0.0529,"kWh replacement-battery capacity",74000,CITED,3.915
SYNTHETIC,3,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.86,"kg mass processed",-1170.4,CITED,-2.177
SYNTHETIC,4,1,"Aluminium casing [SYNTHETIC]",1.405,"kg aluminium",14800,CITED,20.794
SYNTHETIC,4,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.387,"kg populated board",185714,DERIVED_FROM_CITED,71.871
SYNTHETIC,4,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0743,"kWh cell capacity",74000,CITED,5.498
SYNTHETIC,4,4,"Screen (LCD module) [SYNTHETIC]",0.0564,"m2 panel area",222000,CITED,12.521
SYNTHETIC,4,5,"Assembly electricity [SYNTHETIC]",26.8,"kWh factory electricity",445,CITED,11.926
SYNTHETIC,4,6,"Packaging (cardboard) [SYNTHETIC]",1.01,"kg packaging material",1199.73,CITED,1.212
SYNTHETIC,4,7,"International shipping (sea, container) [SYNTHETIC]",54.9,"tonne-km",16.12,CITED,0.885
SYNTHETIC,4,8,"Use-phase electricity [SYNTHETIC]",218,"kWh lifetime electricity",445,CITED,97.01
SYNTHETIC,4,9,"Repair (replacement battery) [SYNTHETIC]",0.0763,"kWh replacement-battery capacity",74000,CITED,5.646
SYNTHETIC,4,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.11,"kg mass processed",-1170.4,CITED,-2.47
SYNTHETIC,5,1,"Aluminium casing [SYNTHETIC]",1.109,"kg aluminium",14800,CITED,16.413
SYNTHETIC,5,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.389,"kg populated board",185714,DERIVED_FROM_CITED,72.243
SYNTHETIC,5,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.048,"kWh cell capacity",74000,CITED,3.552
SYNTHETIC,5,4,"Screen (LCD module) [SYNTHETIC]",0.0584,"m2 panel area",222000,CITED,12.965
SYNTHETIC,5,5,"Assembly electricity [SYNTHETIC]",12.5,"kWh factory electricity",445,CITED,5.563
SYNTHETIC,5,6,"Packaging (cardboard) [SYNTHETIC]",1.02,"kg packaging material",1199.73,CITED,1.224
SYNTHETIC,5,7,"International shipping (sea, container) [SYNTHETIC]",60.8,"tonne-km",16.12,CITED,0.98
SYNTHETIC,5,8,"Use-phase electricity [SYNTHETIC]",85,"kWh lifetime electricity",445,CITED,37.825
SYNTHETIC,5,9,"Repair (replacement battery) [SYNTHETIC]",0.0511,"kWh replacement-battery capacity",74000,CITED,3.781
SYNTHETIC,5,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.76,"kg mass processed",-1170.4,CITED,-2.06
SYNTHETIC,6,1,"Aluminium casing [SYNTHETIC]",1.207,"kg aluminium",14800,CITED,17.864
SYNTHETIC,6,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.325,"kg populated board",185714,DERIVED_FROM_CITED,60.357
SYNTHETIC,6,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0712,"kWh cell capacity",74000,CITED,5.269
SYNTHETIC,6,4,"Screen (LCD module) [SYNTHETIC]",0.0677,"m2 panel area",222000,CITED,15.029
SYNTHETIC,6,5,"Assembly electricity [SYNTHETIC]",27.4,"kWh factory electricity",445,CITED,12.193
SYNTHETIC,6,6,"Packaging (cardboard) [SYNTHETIC]",0.86,"kg packaging material",1199.73,CITED,1.032
SYNTHETIC,6,7,"International shipping (sea, container) [SYNTHETIC]",81.5,"tonne-km",16.12,CITED,1.314
SYNTHETIC,6,8,"Use-phase electricity [SYNTHETIC]",158,"kWh lifetime electricity",445,CITED,70.31
SYNTHETIC,6,9,"Repair (replacement battery) [SYNTHETIC]",0.073,"kWh replacement-battery capacity",74000,CITED,5.402
SYNTHETIC,6,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.82,"kg mass processed",-1170.4,CITED,-2.13
SYNTHETIC,7,1,"Aluminium casing [SYNTHETIC]",1.311,"kg aluminium",14800,CITED,19.403
SYNTHETIC,7,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.43,"kg populated board",185714,DERIVED_FROM_CITED,79.857
SYNTHETIC,7,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0578,"kWh cell capacity",74000,CITED,4.277
SYNTHETIC,7,4,"Screen (LCD module) [SYNTHETIC]",0.0549,"m2 panel area",222000,CITED,12.188
SYNTHETIC,7,5,"Assembly electricity [SYNTHETIC]",18.9,"kWh factory electricity",445,CITED,8.411
SYNTHETIC,7,6,"Packaging (cardboard) [SYNTHETIC]",0.81,"kg packaging material",1199.73,CITED,0.972
SYNTHETIC,7,7,"International shipping (sea, container) [SYNTHETIC]",58,"tonne-km",16.12,CITED,0.935
SYNTHETIC,7,8,"Use-phase electricity [SYNTHETIC]",124,"kWh lifetime electricity",445,CITED,55.18
SYNTHETIC,7,9,"Repair (replacement battery) [SYNTHETIC]",0.0465,"kWh replacement-battery capacity",74000,CITED,3.441
SYNTHETIC,7,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.81,"kg mass processed",-1170.4,CITED,-2.118
SYNTHETIC,8,1,"Aluminium casing [SYNTHETIC]",1.228,"kg aluminium",14800,CITED,18.174
SYNTHETIC,8,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.33,"kg populated board",185714,DERIVED_FROM_CITED,61.286
SYNTHETIC,8,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0522,"kWh cell capacity",74000,CITED,3.863
SYNTHETIC,8,4,"Screen (LCD module) [SYNTHETIC]",0.0492,"m2 panel area",222000,CITED,10.922
SYNTHETIC,8,5,"Assembly electricity [SYNTHETIC]",31.4,"kWh factory electricity",445,CITED,13.973
SYNTHETIC,8,6,"Packaging (cardboard) [SYNTHETIC]",0.57,"kg packaging material",1199.73,CITED,0.684
SYNTHETIC,8,7,"International shipping (sea, container) [SYNTHETIC]",68.2,"tonne-km",16.12,CITED,1.099
SYNTHETIC,8,8,"Use-phase electricity [SYNTHETIC]",192,"kWh lifetime electricity",445,CITED,85.44
SYNTHETIC,8,9,"Repair (replacement battery) [SYNTHETIC]",0.0541,"kWh replacement-battery capacity",74000,CITED,4.003
SYNTHETIC,8,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.07,"kg mass processed",-1170.4,CITED,-2.423
SYNTHETIC,9,1,"Aluminium casing [SYNTHETIC]",1.199,"kg aluminium",14800,CITED,17.745
SYNTHETIC,9,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.319,"kg populated board",185714,DERIVED_FROM_CITED,59.243
SYNTHETIC,9,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0656,"kWh cell capacity",74000,CITED,4.854
SYNTHETIC,9,4,"Screen (LCD module) [SYNTHETIC]",0.0621,"m2 panel area",222000,CITED,13.786
SYNTHETIC,9,5,"Assembly electricity [SYNTHETIC]",31.6,"kWh factory electricity",445,CITED,14.062
SYNTHETIC,9,6,"Packaging (cardboard) [SYNTHETIC]",0.76,"kg packaging material",1199.73,CITED,0.912
SYNTHETIC,9,7,"International shipping (sea, container) [SYNTHETIC]",63.4,"tonne-km",16.12,CITED,1.022
SYNTHETIC,9,8,"Use-phase electricity [SYNTHETIC]",208,"kWh lifetime electricity",445,CITED,92.56
SYNTHETIC,9,9,"Repair (replacement battery) [SYNTHETIC]",0.0707,"kWh replacement-battery capacity",74000,CITED,5.232
SYNTHETIC,9,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.97,"kg mass processed",-1170.4,CITED,-2.306
SYNTHETIC,10,1,"Aluminium casing [SYNTHETIC]",1.085,"kg aluminium",14800,CITED,16.058
SYNTHETIC,10,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.4,"kg populated board",185714,DERIVED_FROM_CITED,74.286
SYNTHETIC,10,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0657,"kWh cell capacity",74000,CITED,4.862
SYNTHETIC,10,4,"Screen (LCD module) [SYNTHETIC]",0.0562,"m2 panel area",222000,CITED,12.476
SYNTHETIC,10,5,"Assembly electricity [SYNTHETIC]",34.8,"kWh factory electricity",445,CITED,15.486
SYNTHETIC,10,6,"Packaging (cardboard) [SYNTHETIC]",0.85,"kg packaging material",1199.73,CITED,1.02
SYNTHETIC,10,7,"International shipping (sea, container) [SYNTHETIC]",48.4,"tonne-km",16.12,CITED,0.78
SYNTHETIC,10,8,"Use-phase electricity [SYNTHETIC]",237,"kWh lifetime electricity",445,CITED,105.465
SYNTHETIC,10,9,"Repair (replacement battery) [SYNTHETIC]",0.0584,"kWh replacement-battery capacity",74000,CITED,4.322
SYNTHETIC,10,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.33,"kg mass processed",-1170.4,CITED,-2.727
SYNTHETIC,11,1,"Aluminium casing [SYNTHETIC]",1.1,"kg aluminium",14800,CITED,16.28
SYNTHETIC,11,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.399,"kg populated board",185714,DERIVED_FROM_CITED,74.1
SYNTHETIC,11,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0599,"kWh cell capacity",74000,CITED,4.433
SYNTHETIC,11,4,"Screen (LCD module) [SYNTHETIC]",0.0705,"m2 panel area",222000,CITED,15.651
SYNTHETIC,11,5,"Assembly electricity [SYNTHETIC]",21.2,"kWh factory electricity",445,CITED,9.434
SYNTHETIC,11,6,"Packaging (cardboard) [SYNTHETIC]",1.12,"kg packaging material",1199.73,CITED,1.344
SYNTHETIC,11,7,"International shipping (sea, container) [SYNTHETIC]",73.2,"tonne-km",16.12,CITED,1.18
SYNTHETIC,11,8,"Use-phase electricity [SYNTHETIC]",155,"kWh lifetime electricity",445,CITED,68.975
SYNTHETIC,11,9,"Repair (replacement battery) [SYNTHETIC]",0.0651,"kWh replacement-battery capacity",74000,CITED,4.817
SYNTHETIC,11,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.01,"kg mass processed",-1170.4,CITED,-2.353
SYNTHETIC,12,1,"Aluminium casing [SYNTHETIC]",1.088,"kg aluminium",14800,CITED,16.102
SYNTHETIC,12,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.319,"kg populated board",185714,DERIVED_FROM_CITED,59.243
SYNTHETIC,12,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.055,"kWh cell capacity",74000,CITED,4.07
SYNTHETIC,12,4,"Screen (LCD module) [SYNTHETIC]",0.0608,"m2 panel area",222000,CITED,13.498
SYNTHETIC,12,5,"Assembly electricity [SYNTHETIC]",22.2,"kWh factory electricity",445,CITED,9.879
SYNTHETIC,12,6,"Packaging (cardboard) [SYNTHETIC]",0.93,"kg packaging material",1199.73,CITED,1.116
SYNTHETIC,12,7,"International shipping (sea, container) [SYNTHETIC]",72.8,"tonne-km",16.12,CITED,1.174
SYNTHETIC,12,8,"Use-phase electricity [SYNTHETIC]",139,"kWh lifetime electricity",445,CITED,61.855
SYNTHETIC,12,9,"Repair (replacement battery) [SYNTHETIC]",0.0569,"kWh replacement-battery capacity",74000,CITED,4.211
SYNTHETIC,12,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.24,"kg mass processed",-1170.4,CITED,-2.622
SYNTHETIC,13,1,"Aluminium casing [SYNTHETIC]",1.24,"kg aluminium",14800,CITED,18.352
SYNTHETIC,13,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.326,"kg populated board",185714,DERIVED_FROM_CITED,60.543
SYNTHETIC,13,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0667,"kWh cell capacity",74000,CITED,4.936
SYNTHETIC,13,4,"Screen (LCD module) [SYNTHETIC]",0.0595,"m2 panel area",222000,CITED,13.209
SYNTHETIC,13,5,"Assembly electricity [SYNTHETIC]",20.3,"kWh factory electricity",445,CITED,9.034
SYNTHETIC,13,6,"Packaging (cardboard) [SYNTHETIC]",0.91,"kg packaging material",1199.73,CITED,1.092
SYNTHETIC,13,7,"International shipping (sea, container) [SYNTHETIC]",84.4,"tonne-km",16.12,CITED,1.361
SYNTHETIC,13,8,"Use-phase electricity [SYNTHETIC]",172,"kWh lifetime electricity",445,CITED,76.54
SYNTHETIC,13,9,"Repair (replacement battery) [SYNTHETIC]",0.0618,"kWh replacement-battery capacity",74000,CITED,4.573
SYNTHETIC,13,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.5,"kg mass processed",-1170.4,CITED,-2.926
SYNTHETIC,14,1,"Aluminium casing [SYNTHETIC]",1.296,"kg aluminium",14800,CITED,19.181
SYNTHETIC,14,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.375,"kg populated board",185714,DERIVED_FROM_CITED,69.643
SYNTHETIC,14,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0575,"kWh cell capacity",74000,CITED,4.255
SYNTHETIC,14,4,"Screen (LCD module) [SYNTHETIC]",0.0591,"m2 panel area",222000,CITED,13.12
SYNTHETIC,14,5,"Assembly electricity [SYNTHETIC]",27.9,"kWh factory electricity",445,CITED,12.415
SYNTHETIC,14,6,"Packaging (cardboard) [SYNTHETIC]",1.19,"kg packaging material",1199.73,CITED,1.428
SYNTHETIC,14,7,"International shipping (sea, container) [SYNTHETIC]",81.4,"tonne-km",16.12,CITED,1.312
SYNTHETIC,14,8,"Use-phase electricity [SYNTHETIC]",223,"kWh lifetime electricity",445,CITED,99.235
SYNTHETIC,14,9,"Repair (replacement battery) [SYNTHETIC]",0.0577,"kWh replacement-battery capacity",74000,CITED,4.27
SYNTHETIC,14,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.46,"kg mass processed",-1170.4,CITED,-2.879
SYNTHETIC,15,1,"Aluminium casing [SYNTHETIC]",0.983,"kg aluminium",14800,CITED,14.548
SYNTHETIC,15,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.427,"kg populated board",185714,DERIVED_FROM_CITED,79.3
SYNTHETIC,15,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0492,"kWh cell capacity",74000,CITED,3.641
SYNTHETIC,15,4,"Screen (LCD module) [SYNTHETIC]",0.0611,"m2 panel area",222000,CITED,13.564
SYNTHETIC,15,5,"Assembly electricity [SYNTHETIC]",36.7,"kWh factory electricity",445,CITED,16.332
SYNTHETIC,15,6,"Packaging (cardboard) [SYNTHETIC]",0.82,"kg packaging material",1199.73,CITED,0.984
SYNTHETIC,15,7,"International shipping (sea, container) [SYNTHETIC]",79.6,"tonne-km",16.12,CITED,1.283
SYNTHETIC,15,8,"Use-phase electricity [SYNTHETIC]",184,"kWh lifetime electricity",445,CITED,81.88
SYNTHETIC,15,9,"Repair (replacement battery) [SYNTHETIC]",0.0549,"kWh replacement-battery capacity",74000,CITED,4.063
SYNTHETIC,15,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.04,"kg mass processed",-1170.4,CITED,-2.388
SYNTHETIC,16,1,"Aluminium casing [SYNTHETIC]",0.937,"kg aluminium",14800,CITED,13.868
SYNTHETIC,16,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.321,"kg populated board",185714,DERIVED_FROM_CITED,59.614
SYNTHETIC,16,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0752,"kWh cell capacity",74000,CITED,5.565
SYNTHETIC,16,4,"Screen (LCD module) [SYNTHETIC]",0.0541,"m2 panel area",222000,CITED,12.01
SYNTHETIC,16,5,"Assembly electricity [SYNTHETIC]",38.4,"kWh factory electricity",445,CITED,17.088
SYNTHETIC,16,6,"Packaging (cardboard) [SYNTHETIC]",0.85,"kg packaging material",1199.73,CITED,1.02
SYNTHETIC,16,7,"International shipping (sea, container) [SYNTHETIC]",74.5,"tonne-km",16.12,CITED,1.201
SYNTHETIC,16,8,"Use-phase electricity [SYNTHETIC]",198,"kWh lifetime electricity",445,CITED,88.11
SYNTHETIC,16,9,"Repair (replacement battery) [SYNTHETIC]",0.0455,"kWh replacement-battery capacity",74000,CITED,3.367
SYNTHETIC,16,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.27,"kg mass processed",-1170.4,CITED,-2.657
SYNTHETIC,17,1,"Aluminium casing [SYNTHETIC]",1.121,"kg aluminium",14800,CITED,16.591
SYNTHETIC,17,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.439,"kg populated board",185714,DERIVED_FROM_CITED,81.528
SYNTHETIC,17,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0526,"kWh cell capacity",74000,CITED,3.892
SYNTHETIC,17,4,"Screen (LCD module) [SYNTHETIC]",0.0501,"m2 panel area",222000,CITED,11.122
SYNTHETIC,17,5,"Assembly electricity [SYNTHETIC]",39.8,"kWh factory electricity",445,CITED,17.711
SYNTHETIC,17,6,"Packaging (cardboard) [SYNTHETIC]",0.83,"kg packaging material",1199.73,CITED,0.996
SYNTHETIC,17,7,"International shipping (sea, container) [SYNTHETIC]",59.3,"tonne-km",16.12,CITED,0.956
SYNTHETIC,17,8,"Use-phase electricity [SYNTHETIC]",148,"kWh lifetime electricity",445,CITED,65.86
SYNTHETIC,17,9,"Repair (replacement battery) [SYNTHETIC]",0.0759,"kWh replacement-battery capacity",74000,CITED,5.617
SYNTHETIC,17,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.85,"kg mass processed",-1170.4,CITED,-2.165
SYNTHETIC,18,1,"Aluminium casing [SYNTHETIC]",1.173,"kg aluminium",14800,CITED,17.36
SYNTHETIC,18,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.352,"kg populated board",185714,DERIVED_FROM_CITED,65.371
SYNTHETIC,18,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0556,"kWh cell capacity",74000,CITED,4.114
SYNTHETIC,18,4,"Screen (LCD module) [SYNTHETIC]",0.0653,"m2 panel area",222000,CITED,14.497
SYNTHETIC,18,5,"Assembly electricity [SYNTHETIC]",27.2,"kWh factory electricity",445,CITED,12.104
SYNTHETIC,18,6,"Packaging (cardboard) [SYNTHETIC]",0.78,"kg packaging material",1199.73,CITED,0.936
SYNTHETIC,18,7,"International shipping (sea, container) [SYNTHETIC]",60.1,"tonne-km",16.12,CITED,0.969
SYNTHETIC,18,8,"Use-phase electricity [SYNTHETIC]",167,"kWh lifetime electricity",445,CITED,74.315
SYNTHETIC,18,9,"Repair (replacement battery) [SYNTHETIC]",0.0603,"kWh replacement-battery capacity",74000,CITED,4.462
SYNTHETIC,18,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.05,"kg mass processed",-1170.4,CITED,-2.399
SYNTHETIC,19,1,"Aluminium casing [SYNTHETIC]",1.15,"kg aluminium",14800,CITED,17.02
SYNTHETIC,19,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.33,"kg populated board",185714,DERIVED_FROM_CITED,61.286
SYNTHETIC,19,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0557,"kWh cell capacity",74000,CITED,4.122
SYNTHETIC,19,4,"Screen (LCD module) [SYNTHETIC]",0.0627,"m2 panel area",222000,CITED,13.919
SYNTHETIC,19,5,"Assembly electricity [SYNTHETIC]",31,"kWh factory electricity",445,CITED,13.795
SYNTHETIC,19,6,"Packaging (cardboard) [SYNTHETIC]",1.03,"kg packaging material",1199.73,CITED,1.236
SYNTHETIC,19,7,"International shipping (sea, container) [SYNTHETIC]",72.5,"tonne-km",16.12,CITED,1.169
SYNTHETIC,19,8,"Use-phase electricity [SYNTHETIC]",164,"kWh lifetime electricity",445,CITED,72.98
SYNTHETIC,19,9,"Repair (replacement battery) [SYNTHETIC]",0.062,"kWh replacement-battery capacity",74000,CITED,4.588
SYNTHETIC,19,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.09,"kg mass processed",-1170.4,CITED,-2.446
SYNTHETIC,20,1,"Aluminium casing [SYNTHETIC]",1.223,"kg aluminium",14800,CITED,18.1
SYNTHETIC,20,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.373,"kg populated board",185714,DERIVED_FROM_CITED,69.271
SYNTHETIC,20,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0605,"kWh cell capacity",74000,CITED,4.477
SYNTHETIC,20,4,"Screen (LCD module) [SYNTHETIC]",0.0647,"m2 panel area",222000,CITED,14.363
SYNTHETIC,20,5,"Assembly electricity [SYNTHETIC]",17.6,"kWh factory electricity",445,CITED,7.832
SYNTHETIC,20,6,"Packaging (cardboard) [SYNTHETIC]",1.04,"kg packaging material",1199.73,CITED,1.248
SYNTHETIC,20,7,"International shipping (sea, container) [SYNTHETIC]",77,"tonne-km",16.12,CITED,1.241
SYNTHETIC,20,8,"Use-phase electricity [SYNTHETIC]",205,"kWh lifetime electricity",445,CITED,91.225
SYNTHETIC,20,9,"Repair (replacement battery) [SYNTHETIC]",0.0484,"kWh replacement-battery capacity",74000,CITED,3.582
SYNTHETIC,20,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.01,"kg mass processed",-1170.4,CITED,-2.353
SYNTHETIC,21,1,"Aluminium casing [SYNTHETIC]",1.024,"kg aluminium",14800,CITED,15.155
SYNTHETIC,21,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.479,"kg populated board",185714,DERIVED_FROM_CITED,88.957
SYNTHETIC,21,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.058,"kWh cell capacity",74000,CITED,4.292
SYNTHETIC,21,4,"Screen (LCD module) [SYNTHETIC]",0.0633,"m2 panel area",222000,CITED,14.053
SYNTHETIC,21,5,"Assembly electricity [SYNTHETIC]",23.1,"kWh factory electricity",445,CITED,10.28
SYNTHETIC,21,6,"Packaging (cardboard) [SYNTHETIC]",0.94,"kg packaging material",1199.73,CITED,1.128
SYNTHETIC,21,7,"International shipping (sea, container) [SYNTHETIC]",59.8,"tonne-km",16.12,CITED,0.964
SYNTHETIC,21,8,"Use-phase electricity [SYNTHETIC]",143,"kWh lifetime electricity",445,CITED,63.635
SYNTHETIC,21,9,"Repair (replacement battery) [SYNTHETIC]",0.0642,"kWh replacement-battery capacity",74000,CITED,4.751
SYNTHETIC,21,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.34,"kg mass processed",-1170.4,CITED,-2.739
SYNTHETIC,22,1,"Aluminium casing [SYNTHETIC]",1.099,"kg aluminium",14800,CITED,16.265
SYNTHETIC,22,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.351,"kg populated board",185714,DERIVED_FROM_CITED,65.186
SYNTHETIC,22,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0579,"kWh cell capacity",74000,CITED,4.285
SYNTHETIC,22,4,"Screen (LCD module) [SYNTHETIC]",0.0573,"m2 panel area",222000,CITED,12.721
SYNTHETIC,22,5,"Assembly electricity [SYNTHETIC]",27.9,"kWh factory electricity",445,CITED,12.415
SYNTHETIC,22,6,"Packaging (cardboard) [SYNTHETIC]",1.17,"kg packaging material",1199.73,CITED,1.404
SYNTHETIC,22,7,"International shipping (sea, container) [SYNTHETIC]",74.9,"tonne-km",16.12,CITED,1.207
SYNTHETIC,22,8,"Use-phase electricity [SYNTHETIC]",179,"kWh lifetime electricity",445,CITED,79.655
SYNTHETIC,22,9,"Repair (replacement battery) [SYNTHETIC]",0.0463,"kWh replacement-battery capacity",74000,CITED,3.426
SYNTHETIC,22,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.96,"kg mass processed",-1170.4,CITED,-2.294
SYNTHETIC,23,1,"Aluminium casing [SYNTHETIC]",1.037,"kg aluminium",14800,CITED,15.348
SYNTHETIC,23,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.402,"kg populated board",185714,DERIVED_FROM_CITED,74.657
SYNTHETIC,23,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0489,"kWh cell capacity",74000,CITED,3.619
SYNTHETIC,23,4,"Screen (LCD module) [SYNTHETIC]",0.0589,"m2 panel area",222000,CITED,13.076
SYNTHETIC,23,5,"Assembly electricity [SYNTHETIC]",15.2,"kWh factory electricity",445,CITED,6.764
SYNTHETIC,23,6,"Packaging (cardboard) [SYNTHETIC]",0.84,"kg packaging material",1199.73,CITED,1.008
